County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
Queens,748925,Store,JAC,FRUIT TEAM INC,FRUIT TEAM,25-05,STEINWAY STREET,,,ASTORIA,NY,11106,0,POINT (-73.91186 40.76775)
Richmond,748917,Store,JAC,OKIN FOODS INC,OKIN FOODS,1309,FOREST AVENUE,,,STATEN ISLAND,NY,10302,1500,POINT (-74.13345 40.62637)
Richmond,748905,Store,JAC,J KIKIS DELI CORP,KIKIS DELI,249,MAIN STREET,,,STATEN ISLAND,NY,10307,1500,POINT (-74.24693 40.50912)
New York,748904,Store,A,BROADWAY MART 2708 INC,BROADWAY MART,2708,BROADWAY,,,NEW YORK,NY,10025,2000,POINT (-73.96827 40.79942)
New York,748886,Store,A,CONVENIENCE AND CANDY CORP,CONVENIENCE AND CANDY,3550,BROADWAY,,,NEW YORK,NY,10031,1800,POINT (-73.95002 40.82687)
Bronx,748880,Store,A,DCON DISCOUNT INC,DCON DISCOUNT,4412,WHITE PLAINS ROAD,,,BRONX,NY,10470,8000,POINT (-73.85384 40.899)
Albany,748874,Store,JAC,COULSONS 420 INC,COULSON'S NEWS,420,BROADWAY,,,ALBANY,NY,12207,1200,POINT (-73.75075 42.6486)
New York,748858,Store,A,GORILLAS NYC COLUMBIA LLC,GORILLAS - 23 MAHATTAN,2681,BROADWAY,,,NEW YORK,NY,10025,2000,POINT (-73.96896 40.7987)
New York,748842,Store,A,GB LICENSE LLC,GOPUFF 807,2680,BROADWAY,,,NEW YORK,NY,10025,5000,POINT (-73.96882 40.79854)
Nassau,748805,Store,JAC,RUSSIAN EUROPEAN FOOD MARKET CORP,RUSSIAN EUROPEAN FOOD M,148,MAIN STREET,,,EAST ROCKAWAY,NY,11518,0,POINT (-73.6666 40.64187)
Queens,748785,Store,JAC,JMMD DELI CORP,SMILEN BROTHERS MARKET,147-23,JAMAICA AVENUE,,,JAMAICA,NY,11435,0,POINT (-73.8068 40.70178)
Nassau,748696,Store,JAC,LOCAL MARKET PORT WASHINGTON LLC,THE LOCAL MARKET PORT W,273,MAIN STREET,,,PORT WASHINGTON,NY,11050,0,POINT (-73.69794 40.83228)
Kings,748652,Store,JAC,FLATBUSH ORGANIC MARKET CORP,FLATBUSH ORGANIC MARKET,713,FLATBUSH AVENUE,,,BROOKLYN,NY,11225,0,POINT (-73.95989 40.65575)
Kings,748650,Store,JAC,SMITH TAIWO ESTER,ANGEL FOODS DELI & GROC,2123,CHURCH AVENUE,,,BROOKLYN,NY,11226,0,POINT (-73.95913 40.65031)
Kings,748596,Store,JAC,TOGETHER FAMS INC,EDIBLE ARRANGEMENTS,350,BROADWAY,,,BROOKLYN,NY,11211,1000,POINT (-73.95587 40.70771)
Kings,748560,Store,JAC,COCO ISLAND MART INC,COCO ISLAND MART,1514,86TH STREET,,,BROOKLYN,NY,11228,0,POINT (-74.00909 40.61117)
Bronx,748556,Store,JAC,AAA DISCOUNT INC,AAA DISCOUNT,1398,GRAND CONCOURSE,,,BRONX,NY,10456,0,POINT (-73.91374 40.83848)
